latitude,longitude,nkill,city,attacktype1_txt
31.147131,75.341218,1,Unknown,Assassination
30.954424,74.612085,6,Firozpur,Unknown
31.147131,75.341218,2,Unknown,Unknown
31.633078,74.878288,1,Amritsar,Assassination
31.633078,74.878288,1,Amritsar,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,2,Unknown,Assassination
23.940848,91.988153,3,Unknown,Assassination
31.147131,75.341218,0,Unknown,Assassination
29.058776,76.085601,0,Unknown,Armed Assault
31.633078,74.878288,1,Amritsar,Bombing/Explosion
30.933135,74.622476,1,Ferozepur district,Assassination
31.633078,74.878288,1,Amritsar,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Unknown
,,3,Unknown,Bombing/Explosion
31.633078,74.878288,3,Amritsar,Assassination
24.663717,93.906269,0,Unknown,Bombing/Explosion
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,0,Unknown,Facility/Infrastructure Attack
32.726602,74.857026,1,Jammu,Bombing/Explosion
31.147131,75.341218,0,Unknown,Assassination
30.954424,74.612085,1,Ferozepur,Assassination
29.999507,75.393681,1,Mansa district,Assassination
30.81646,75.171709,4,Moga,Hijacking
31.633078,74.878288,0,Amritsar,Bombing/Explosion
31.147131,75.341218,3,Unknown,Armed Assault
30.954424,74.612085,1,Ferozepur,Assassination
31.147131,75.341218,2,Unknown,Assassination
31.147131,75.341218,0,Unknown,Facility/Infrastructure Attack
31.147131,75.341218,0,Unknown,Bombing/Explosion
31.633078,74.878288,2,Amritsar,Assassination
31.448943,74.925262,2,Tarn Taran,Assassination
31.8186,75.2028,0,Batala,Armed Assault
31.958504,75.323245,4,Dhariwal,Armed Assault
30.34,76.38,3,Patiala district,Assassination
31.524624,75.905947,1,Hoshiarpur,Assassination
31.558333,75.294722,1,Lakhuwal,Assassination
29.886653,76.019607,1,Khanewal,Assassination
26.652846,92.792524,1,Tezpur,Bombing/Explosion
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
29.058776,76.085601,0,Unknown,Bombing/Explosion
32.040763,75.401886,1,Gurdaspur,Bombing/Explosion
