,latitude,longitude,nkill,city,attacktype1_txt
176,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
177,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
178,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
179,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
180,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
181,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
182,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
183,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
184,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
185,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
186,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
187,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
188,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
189,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
190,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
191,31.147130999999998,75.34121800000001,0.0,Unknown,Facility/Infrastructure Attack
192,31.633078,74.878288,1.0,Amritsar,Assassination
193,31.633078,74.878288,1.0,Amritsar,Assassination
194,31.633078,74.878288,1.0,Amritsar,Assassination
195,33.315527,74.622476,2.0,Bhela,Assassination
196,30.733315,76.779418,1.0,Chandigarh,Assassination
197,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
198,30.378179,76.776697,2.0,Ambala,Assassination
201,31.800653999999998,75.78801800000001,1.0,Jogiana,Assassination
202,30.464581,77.640726,3.0,Amarkot,Armed Assault
203,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
204,30.954424,74.612085,6.0,Firozpur,Unknown
205,31.147130999999998,75.34121800000001,2.0,Unknown,Unknown
206,31.633078,74.878288,1.0,Amritsar,Assassination
207,31.633078,74.878288,1.0,Amritsar,Assassination
208,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
209,31.147130999999998,75.34121800000001,2.0,Unknown,Assassination
210,23.940848000000003,91.988153,3.0,Unknown,Assassination
211,31.147130999999998,75.34121800000001,0.0,Unknown,Assassination
212,29.058776,76.085601,0.0,Unknown,Armed Assault
213,31.633078,74.878288,1.0,Amritsar,Bombing/Explosion
214,30.933134999999996,74.622476,1.0,Ferozepur district,Assassination
215,31.633078,74.878288,1.0,Amritsar,Assassination
216,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
217,31.147130999999998,75.34121800000001,1.0,Unknown,Unknown
219,31.633078,74.878288,3.0,Amritsar,Assassination
220,24.663717000000002,93.906269,0.0,Unknown,Bombing/Explosion
221,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
222,31.147130999999998,75.34121800000001,0.0,Unknown,Facility/Infrastructure Attack
223,32.726602,74.857026,1.0,Jammu,Bombing/Explosion
224,31.147130999999998,75.34121800000001,0.0,Unknown,Assassination
225,30.954424,74.612085,1.0,Ferozepur,Assassination
226,29.999507,75.393681,1.0,Mansa district,Assassination
227,30.81646,75.17170899999999,4.0,Moga,Hijacking
228,31.633078,74.878288,0.0,Amritsar,Bombing/Explosion
229,31.147130999999998,75.34121800000001,3.0,Unknown,Armed Assault
230,30.954424,74.612085,1.0,Ferozepur,Assassination
231,31.147130999999998,75.34121800000001,2.0,Unknown,Assassination
232,31.147130999999998,75.34121800000001,0.0,Unknown,Facility/Infrastructure Attack
233,31.147130999999998,75.34121800000001,0.0,Unknown,Bombing/Explosion
234,31.633078,74.878288,2.0,Amritsar,Assassination
